name,abbrv,color,affiliation,coauthored
Martial Hebert,M. Hebert,#32CD32,Carnegie Mellon University,1
David Crandall,D. Crandall,#32CD32,none,1
Michael Ryoo,M. Ryoo,#32CD32,none,1
Leonid Sigal,L. Sigal,#32CD32,University of British Columbia,1
Stefanie Jegelka,S. Jegelka,#32CD32,Massachusetts Institute of Technology,1
Trevor Darrell,T. Darrell,#32CD32,University of California - Berkeley,1
Qing Cao,Q. Cao,#00bfff,University of Tennessee,1
Tarek Abdelzaher,T. Abdelzaher,#00bfff,none,1
John Stankovic,J. Stankovic,#00bfff,none,1
Kamin Whitehouse,K. Whitehouse,#00bfff,University of Virginia,1
Dong Wang,D. Wang,#00bfff,none,1
Thierry Gautier,T. Gautier,#00bfff,Ecole Normale Superieure de Lyon,0
Naomi Nishimura,N. Nishimura,#ffff00,University of Waterloo,1
Marcin Kaminski,M. Kaminski,#ffff00,University of Warsaw,1
Illah Nourbakhsh,I. Nourbakhsh,#32CD32,none,0
Manu Awasthi,M. Awasthi,#00bfff,IIT Gandhinagar,1
Rajeev Balasubramonian,R. Balasubramonian,#00bfff,University of Utah,1
Al Davis,A. Davis,#00bfff,University of Utah,1
Ko Nishino,K. Nishino,#32CD32,Drexel University,1
Kristin Dana,K. Dana,#32CD32,none,1
Amitabha Bagchi,A. Bagchi,#00bfff,IIT Delhi,1
Dan Rubenstein,D. Rubenstein,#00bfff,Columbia University,1
Keith Ross,K. Ross,#00bfff,none,1
Maya Ramanath,M. Ramanath,#32CD32,IIT Delhi,1
Weiming Hu,W. Hu,#32CD32,Chinese Academy of Sciences,1
Xi Li,X. Li,#32CD32,none,1
Zhongfei Zhang,Z. Zhang,#32CD32,Binghamton University,1
Haibin Ling,H. Ling,#32CD32,Temple University,1
Junliang Xing,J. Xing,#32CD32,Chinese Academy of Sciences,1
Jun Gao,J. Gao,#32CD32,Peking University,1
Martin Glinz,M. Glinz,#00bfff,University of Zurich,0
Ravi Chugh,R. Chugh,#00bfff,University of Chicago,1
Ranjit Jhala,R. Jhala,#00bfff,University of California - San Diego,1
Jiasi Chen,J. Chen,#00bfff,University of California - Riverside,0
Olivier Danvy,O. Danvy,#d3d3d3,Aarhus University,0
Scott Kuindersma,S. Kuindersma,#ffc0cb,Harvard University,1
Roderic Grupen,R. Grupen,#ffc0cb,none,1
Russ Tedrake,R. Tedrake,#ffc0cb,Massachusetts Institute of Technology,1
George Konidaris,G. Konidaris,#32CD32,Brown University,1
Eric Van Wyk,E. Van Wyk,#ffc0cb,University of Minnesota,1
Maria Gini,M. Gini,#32CD32,none,1
Jimmy Lin,J. Lin,#32CD32,none,1
Ashish Goel,A. Goel,#ffff00,Stanford University,1
Jeff Dalton,J. Dalton,#32CD32,none,1
Adam Lopez,A. Lopez,#32CD32,University of Edinburgh,1
Tamer Elsayed,T. Elsayed,#32CD32,Qatar University,1
Kevin Gimpel,K. Gimpel,#32CD32,TTI Chicago,1
Gordon Cormack,G. Cormack,#32CD32,none,1
Charles Clarke,C. Clarke,#32CD32,none,1
Andrew Trotman,A. Trotman,#32CD32,University of Otago,1
J. Culpepper,J. Culpepper,#32CD32,none,1
Pat Hanrahan,P. Hanrahan,#ffc0cb,Stanford University,1
Kayvon Fatahalian,K. Fatahalian,#ffc0cb,Stanford University,1
Alexander Aiken,A. Aiken,#00bfff,Stanford University,1
William Dally,W. Dally,#00bfff,none,1
Matthias Nießner,M. Nießner,#ffc0cb,TU Munich,1
Daniel Ritchie,D. Ritchie,#ffc0cb,Brown University,1
Mark Horowitz,M. Horowitz,#00bfff,Stanford University,1
Jonathan Ragan-Kelley,J. Ragan-Kelley,#ffc0cb,University of California - Berkeley,1
Roger Espasa,R. Espasa,#ffc0cb,Polytechnic University of Catalonia,1
Christopher Manning,C. Manning,#32CD32,none,1
Thomas Funkhouser,T. Funkhouser,#ffc0cb,none,1
Jan Vitek,J. Vitek,#00bfff,Northeastern University,1
Christian Theobalt,C. Theobalt,#ffc0cb,Max Planck Institute,1
Martin Odersky,M. Odersky,#00bfff,EPFL,1
Tiark Rompf,T. Rompf,#00bfff,Purdue University,1
Kunle Olukotun,K. Olukotun,#00bfff,Stanford University,1
Philip Levis,P. Levis,#00bfff,Stanford University,1
Christophe Bobda,C. Bobda,#00bfff,University of Arkansas,0
Michael Taylor,M. Taylor,#00bfff,none,1
Jack Sampson,J. Sampson,#00bfff,Pennsylvania State University,1
Steven Swanson,S. Swanson,#00bfff,University of California - San Diego,1
Dawei Li,D. Li,#00bfff,University of Vermont,1
Seda Memik,S. Memik,#00bfff,none,1
Jacques Wainer,J. Wainer,#32CD32,UNICAMP,1
Piyush Rai,P. Rai,#32CD32,IIT Kanpur,1
Xiaoyan Zhu,X. Zhu,#32CD32,Tsinghua University,1
Minlie Huang,M. Huang,#32CD32,Tsinghua University,1
Tat-Seng Chua,T. Chua,#32CD32,National University of Singapore,1
Qiang Yang,Q. Yang,#32CD32,none,1
Sinno Pan,S. Pan,#32CD32,none,1
E. Whitehead,E. Whitehead,#00bfff,none,1
Gao Cong,G. Cong,#00bfff,Nanyang Technological University,1
Ming Li,M. Li,#ffc0cb,none,1
David Cheriton,D. Cheriton,#00bfff,none,1
Ewan Klein,E. Klein,#32CD32,University of Edinburgh,0
Panayiotis Zaphiris,P. Zaphiris,#ffc0cb,Cyprus University of Technology,0
Michael Hallett,M. Hallett,#ffc0cb,none,0
Luc De Raedt,L. De Raedt,#32CD32,KU Leuven,1
Wolfram Burgard,W. Burgard,#ffc0cb,University of Freiburg,1
Kristian Kersting,K. Kersting,#32CD32,TU Darmstadt,1
Guy Van den Broeck,G. Van den Broeck,#32CD32,University of California - Los Angeles,1
Jesse Davis,J. Davis,#32CD32,KU Leuven,1
Roni Khardon,R. Khardon,#32CD32,Indiana University,1
Guido Tack,G. Tack,#32CD32,Monash University,1
Daniel Angus,D. Angus,#ffc0cb,University of Queensland,1
Janet Wiles,J. Wiles,#ffc0cb,University of Queensland,1
Qiaozhu Mei,Q. Mei,#32CD32,University of Michigan,1
Ming Zhang,M. Zhang,#32CD32,none,1
Dragomir Radev,D. Radev,#32CD32,none,1
ChengXiang Zhai,C. Zhai,#32CD32,Univ. of Illinois at Urbana-Champaign,1
Gang Huang,G. Huang,#00bfff,none,1
Xuanzhe Liu,X. Liu,#32CD32,Peking University,1
Chun Chen,C. Chen,#32CD32,Zhejiang University,1
Jiajun Bu,J. Bu,#32CD32,Zhejiang University,1
Deng Cai,D. Cai,#32CD32,Zhejiang University,1
Yan Liu,Y. Liu,#32CD32,University of Southern California,1
Tao Xie,T. Xie,#00bfff,none,1
Dan Hao,D. Hao,#00bfff,Peking University,1
Kaigui Bian,K. Bian,#00bfff,Peking University,1
